UMLS:C3495144:T048:DISO	Apraxias, Articulatory
UMLS:C0005745:T190:DISO	Ptosis|Blepharoptosis|Drooping upper eyelid|Eye drop|Eyelid ptosis
UMLS:C0005744:T047:DISO	blepharophimoses|blepharophimosis
UMLS:C0005743:T047:DISO	blepharoconjunctivitis
UMLS:C0005742:T047:DISO	blepharochalasis
UMLS:C0005741:T047:DISO	inflammation of eyelid|blepharitides|eyelid inflammation|blepharitis|tarsitis|inflammation eyelids
UMLS:C0005724:T047:DISO	visceral paracoccidioidomycosis
UMLS:C0005717:T047:DISO	blastomycosis, north american|chicago disease|gilchrists disease|gilchrist's disease|gilchrist disease|north american blastomycosis
UMLS:C0005716:T047:DISO	blastomycosis|blastomycotic infection|infection by blastomyces dermatitidis|blastomycoses
UMLS:C0005699:T191:DISO	Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive
UMLS:C0005697:T047:DISO	neurogenic bladder nos|neurogenic urinary bladder disorder|neurogenic bladder|neurogenic bladder disorders|neurogenic bladder disorder|bladder disorder, neurogenic|neuropathic bladder|neurogenic dysfunction of the urinary bladder|neurogenic urinary bladder|urinary bladder disorder, neurogenic|urinary bladder, neurogenic|urinary bladder neurogenic dysfunction|bladder, neurogenic|bladder neurogenic
UMLS:C0005695:T191:DISO	Bladder neoplasm|Bladder cancer|Bladder tumor
UMLS:C0005694:T047:DISO	Bladder neck obstruction
UMLS:C0005690:T190:DISO	Bladder fistula
UMLS:C0005689:T019:DISO	Bladder exstrophy|Ectopia vesicae|MedGen UID: 109109, Concept ID: C0600599, Genetic Function
UMLS:C0005686:T047:DISO	bladder disease|bladder disorders|bladder diseases|urinary bladder disorder|diseases of the bladder|bladder disorder|urinary bladder diseases|disease bladder|urinary bladder disease
UMLS:C0005684:T191:DISO	Urinary Bladder Neoplasms|Bladder cancer|Bladder cancer, somatic|Malignant tumor of urinary bladder|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C0005683:T047:DISO	urinary bladder stones|urinary bladder calculi|calculi of urinary bladder|bladder stones urinary|calculus, urinary bladder|bladder stones, urinary|calculus, vesical|bladder stone, urinary|bladder calculus, urinary|urinary bladder calculus|calculi, bladder|bladder calculi|cystoliths|stone, urinary bladder|bladder stones|stones, urinary bladder|bladder calculi, urinary|bladder calculus|stones bladder|vesical calculus|cystolith|urinary bladder stone|vesicolithiasis|calculi, urinary bladder|stones, bladder|calculi, vesical|calculus, bladder|bladder stone|stone, bladder|vesical calculi
UMLS:C0005681:T047:DISO	hemolytic malaria|hemoglobinuric fever|black water fever|malaria, hemolytic|malarias, hemolytic|fever, black water|fever, blackwater|malaria hemoglobinuric|fevers, blackwater|hemolytic malarias|fevers, black water|black water fevers|blackwater fever|blackwater fevers|malarial hemoglobinuria|hemoglobinuric, malaria
UMLS:C0005592:T047:DISO	bird-fanciers' lung|bird breeder's lung|pneumonitis, avian hypersensitivity|pneumonitides, avian hypersensitivity|bird fanciers lung|bird breeders lung|bird fancier lungs|bird breeder lung|bird disease fanciers|bird fancier's lungs|avian hypersensitivity pneumonitis|bird fancier's lung|bird fancier lung|hypersensitivity pneumonitis, avian|avian hypersensitivity pneumonitides|lung, bird fancier's|lungs, bird fancier's|bird-fancier's lung|hypersensitivity pneumonitides, avian|bird fancier disease|pneumonitis, hypersensitivity, avian
UMLS:C0005591:T047:DISO	avian disease|avian diseases|birds diseases|diseases, bird|bird diseases|disease, bird|disease, avian|bird disease|diseases, avian|birds disease
UMLS:C0005587:T048:DISO	Bipolar affective disorder, current episode depression
UMLS:C0005586:T048:DISO	Bipolar affective disorder|Bipolar disorder
UMLS:C0005461:T047:DISO	binocular vision disorder
UMLS:C0005426:T191:DISO	Biliary tract neoplasm
UMLS:C0005424:T047:DISO	tract disease, biliary|tract diseases, biliary|biliary tract diseases|disease, biliary tract|diseases, biliary tract|bile duct disease|biliary tract disorder|biliary tract disease|biliary tract disorders|biliary and gallbladder disorder|biliary disease tract
UMLS:C0005417:T046:DISO	Fistula of bile duct
UMLS:C0005416:T047:DISO	biliary dyskinesias|biliary dyskinesia|dyskinesia, biliary|dyskinesia biliary|dyskinesias, biliary
UMLS:C0005411:T047:DISO	ehba|idiopathic extrahepatic biliary atresia|extrahepatic biliary atresia|atresias, extrahepatic biliary|congenital biliary atresia|primary biliary atresia|biliary atresia, extrahepatic|biliary atresias, extrahepatic|atresia, extrahepatic biliary|atresia, biliary|biliary atresia, congenital|biliary atresia|extrahepatic biliary atresias|atresia biliary|familial extrahepatic biliary atresia
UMLS:C0005403:T047:DISO	reflux bile|reflux, bile|bile reflux
UMLS:C0005398:T047:DISO	extrahepatic biliary obstruction|bile duct obstruction, extrahepatic|extrahepatic cholestasis|extrahepatic biliary stasis|extrahepatic bile duct obstruction|cholestasis extrahepatic|cholestasis, extrahepatic|biliary stasis, extrahepatic
UMLS:C0005396:T191:DISO	Bile Duct Neoplasm
UMLS:C0005395:T047:DISO	bile duct diseases|diseases, bile duct|duct disease, bile|bile duct disease|bile duct disorders|duct diseases, bile|biles diseases ducts|disease, bile duct|bile diseases ducts
UMLS:C0005283:T047:DISO	beta-thalassemia|beta thalassemias|thalassemia beta|thalassaemia beta|beta thalassaemia|beta-thalassaemia|beta thalassemia
UMLS:C0005146:T047:DISO	besnoitiases|besnoitiosis|besnoitiasis|besnoitioses
UMLS:C0005137:T047:DISO	bertielliasis|bertielliases
UMLS:C0005136:T190:DISO	Berry aneurysm
UMLS:C0005129:T047:DISO	bernard-soulier syndrome|platelet glycoprotein ib deficiency|syndrome, bernard-soulier|giant platelet syndrome|bss|platelet syndromes, giant|syndromes, giant platelet|thrombopathy, bernard-soulier|glycoprotein ib, platelet, deficiency of|giant platelet syndromes|syndrome, giant platelet|bernard-soulier thrombopathy|bernard soulier syndrome
UMLS:C0005122:T047:DISO	beriberi|endemic polyneuritis|bery bery|beri-beri|beri beri
UMLS:C0005001:T046:DISO	Benign prostatic hypertrophy
UMLS:C0004998:T191:DISO	Benign Skin Neoplasm
UMLS:C0004997:T191:DISO	Benign Ovarian Neoplasm
UMLS:C0004994:T191:DISO	Benign Neoplasm of Lower Jaw Bone
UMLS:C0004992:T191:DISO	Benign neoplasm of cranial nerve
UMLS:C0004991:T191:DISO	Benign Colon Neoplasm
UMLS:C0004945:T047:DISO	endemic syphilis|nonvenereal endemic syphilis|njovera|bejel|bejels
UMLS:C0004943:T047:DISO	bd|behcet diseases|behcets syndrome|behcet syndrome|behcets disease|behcet's syndrome|triple-symptom complex|behcet's disease|behcet disease|behcet's|triple symptom complex|syndrome behcet's
UMLS:C0004936:T048:DISO	Mental disorder
UMLS:C0004930:T048:DISO	Behavior disorder|MAOA-Related Behavior Disorders|SLC6A4-Related Behavior Disorders
UMLS:C0004903:T047:DISO	syndrome, beckwith-wiedemann|wiedemann-beckwith (wbs) syndromes|syndrome, wiedemann-beckwith (wbs)|syndromes, exomphalos-macroglossia-gigantism|wiedemann-beckwith syndromes (wbs)|emg syndrome|exomphalos macroglossia gigantism syndrome|syndrome, wiedemann-beckwith|beckwith's syndrome|beckwith wiedemann syndrome|syndrome emg|exomphalos-macroglossia-gigantism syndrome|syndrome wiedemann|bws|syndromes, wiedemann-beckwith (wbs)|beckwith syndrome wiedemann|wiedemann beckwith syndrome (wbs)|wiedemann-beckwith (wbs) syndrome|beckwith-wiedemann syndrome|syndrome, exomphalos-macroglossia-gigantism|exomphalos-macroglossia-gigantism syndromes|wbs|wiedemann-beckwith syndromes|wiedemann-beckwith syndrome|wiedemann-beckwith syndrome (wbs)|beckwith syndrome|wiedemann syndrome|wiedemann beckwith syndrome
UMLS:C0004842:T047:DISO	syndrome, battered child|syndromes, battered child|child syndrome, battered|battered child syndromes|child syndromes, battered|battered child syndrome
UMLS:C0004812:T047:DISO	artery ischemia, basilar|basilar artery insufficiencies|insufficiency, basilar|basilar artery ischemia|artery insufficiencies, basilar|basilar insufficiencies|artery basilar syndrome|basilar artery insufficiency|artery ischemias, basilar|basilar artery ischemias|insufficiencies, basilar artery|ischemias, basilar artery|insufficiency, basilar artery|artery insufficiency, basilar|basilar insufficiency|basilar artery syndrome|ischemia, basilar artery|insufficiencies, basilar
UMLS:C0004782:T047:DISO	basal ganglia disorders|basal ganglia disorder|basal ganglia diseases|basal disorder ganglia|basal ganglia disease
UMLS:C0004779:T191:DISO	Gorlin syndrome|Basal cell nevus syndrome|Fifth Phacomatosis|Gorlin-Goltz Syndrome|Multiple Basal Cell Nevi, Odontogenic Keratocysts, And Skeletal Anomalies|Nevoid Basal Cell Carcinoma Syndrome|MedGen UID: 67020, Concept ID: C0242960, Organism Attribute|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C0004775:T047:DISO	syndrome, bartter|bartter disease|barter disease|bartters's syndrome|bartters disease|barters disease|bartters syndrome|barter's disease|hypokalemic alkalosis|bartter syndrome|disease bartter's|bartter's disease|syndrome, bartter's|bartter's syndrome
UMLS:C0004773:T047:DISO	infection, bartonellaceae|infections, bartonellaceae|bartonellaceae infections|bartonellaceae infection
UMLS:C0004771:T047:DISO	bartonella infections|bartonelloses|carrions disease|bartonellosis|disease, carrion|infections, rochalimaea|bartonelliasis|carrion's disease|rochalimaea infections|infection, bartonella|bartonella infection|disease, carrion's|infections, bartonella|rochalimaea infection|infection, rochalimaea|carrion disease
UMLS:C0004769:T047:DISO	bartholin's adenitis|bartholinitis|bartholin adenitis
UMLS:C0004767:T047:DISO	bartholin cyst gland|abscess bartholin cyst|bartholin's cysts gland|bartholin's cysts|cyst of bartholin gland|cyst of bartholin's gland|bartholin gland cyst|bartholins cyst gland|bartholin cyst|bartholin's duct cyst|bartholins cyst|bartholin cyst/abscess|bartholin's cyst|bartholin's gland cyst|bartholin duct cyst|bartholins cysts gland|abscesses bartholin cyst|bartholins's cysts gland|bartholin cysts|bartholin cysts gland
UMLS:C0004766:T046:DISO	Abscess of Bartholin gland
UMLS:C0004763:T047:DISO	barrett oesophagus|barrett oesophagitis|barrett's oesophagus|cle|barrett's syndrome|syndrome, barrett's|columnar-lined esophagus|columnar epithelial-lined lower esophagus|barrett esophagitis|barrett syndrome|syndrome, barrett|cello|esophagus, barrett|barrett's oesophagitis|barrett esophagus|barrett's esophagitis|barretts syndrome|barrett's esophagus|barretts esophagus|esophagus, barrett's
UMLS:C0004712:T047:DISO	concentric sclerosis|balos concentrics sclerosis|balo concentric sclerosis|balo's encephalitis periaxialis|balo's disease|balo's concentric sclerosis|scleroses, balo concentric|balo's concentric scleroses|concentric sclerosis, balo|concentrica encephalitis periaxialis|scleroses, balo's concentric|balo disease|concentric sclerosis, balo's|encephalitis periaxialis, concentrica|encephalitis periaxialis, balo's
UMLS:C0004698:T047:DISO	ben|balkan endemic nephropathy|balkan nephropathy|danubian endemic familial nephropathy|nephropathy, balkan endemic|nephropathia epidemica|endemic nephropathy, balkan|defn|nephropathy, balkan
UMLS:C0004692:T047:DISO	balantidiases|balantidiasis|balantidiosis
UMLS:C0004691:T047:DISO	balanoposthitis
UMLS:C0004690:T047:DISO	balanitis|balanitides
UMLS:C0004681:T047:DISO	sugar cane worker pneumonitis|bagassosis
UMLS:C0004669:T047:DISO	bacterial infection with bacteroides|bacteroides infection|infections, bacteroides|infection, bacteroides|bacteroides infections
UMLS:C0004659:T047:DISO	bacteriurias|bacteriuria
UMLS:C0004626:T047:DISO	bacterial pneumonia|pneumonia bacterial|pneumonia, bacterial|bacterial pneumonias|pneumonias, bacterial
UMLS:C0004623:T047:DISO	bacteria caused diseases|disease caused by bacteria|infection, bacterial|bacterial disease|bacterial infectious diseases|bacterial infection|bacterial infections|bacterial diseases|infections, bacterial|bacteria caused disease
UMLS:C0004616:T047:DISO	aneurysm, bacterial|bacterial aneurysm|aneurysms, bacterial|bacterial aneurysms
UMLS:C0004615:T047:DISO	bacterial infections and mycoses
UMLS:C0004610:T047:DISO	bacteremia|bacteria in the blood|bacteraemia|blood poisoning|bacteremias
UMLS:C0004606:T047:DISO	nonproliferative diabetic retinopathy nos|non-proliferative diabetic retinopathy|background diabetic retinopathy
UMLS:C0004576:T047:DISO	infection, babesia parasite|babesiasis|infections, babesia parasite|babesia parasite infection|babesiosis|babesia parasite infections|babesioses|babesiases|piroplasmoses|piroplasmosis|babesia infection
UMLS:C0004565:T191:DISO	B16 Malignant Melanoma
UMLS:C0004509:T047:DISO	azoospermia|azospermia
UMLS:C0004468:T047:DISO	ayerza-arrilaga syndrome|ayerza arrilaga syndrome|ayerzas syndrome|ayerza syndrome|syndrome, ayerza|syndrome, ayerza-arrilaga|ayerza's syndrome
UMLS:C0004444:T048:DISO	Avoidant personality disorder
UMLS:C0004426:T191:DISO	Avian Sarcomas
UMLS:C0004421:T191:DISO	Avian Leukosis
UMLS:C0004403:T049:DISO	Autosome Abnormalities
UMLS:C0004402:T047:DISO	autosomal deletion syndromes
UMLS:C0004368:T046:DISO	Autoimmunity|Autoimmune condition|Autoimmune disease|Autoimmune disorder
UMLS:C0004366:T046:DISO	Autoimmune Response
UMLS:C0004364:T047:DISO	autoimmune disease nos|autoimmune diseases|autoimmune disease|diseases, autoimmune|autoimmune disorder|disease, autoimmune|autoimmune disorders
UMLS:C0004352:T048:DISO	Autistic disorder of childhood onset|Autism|Autistic Disorder|MedGen UID: 67020, Concept ID: C0242960, Organism Attribute|MedGen UID: 109109, Concept ID: C0600599, Genetic Function|MedGen UID: 342827, Concept ID: C1853237, Finding
UMLS:C0004331:T046:DISO	Atrioventricular dissociation|A-V DISSOCIATION|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C0004310:T048:DISO	Auditory processing disorder
UMLS:C0004303:T047:DISO	central auditory pathway disorders|auditory pathway disorders, central|central auditory diseases|dysfunction, central auditory|auditory dysfunction, central|central auditory dysfunctions|auditory diseases, central|central auditory dysfunction|central auditory disease|dysfunctions, central auditory|auditory disease, central
UMLS:C0004277:T047:DISO	attrition, tooth|wear, occlusal|occlusal wears|attrition|tooth wear|dental attritions|occlusal wear|tooth attrition|dental attrition|wears, occlusal|attrition, dental
UMLS:C0004269:T047:DISO	add|attention deficit disorder of childhood|child attention deficit disorder|child attention deficit disorder (child add)
UMLS:C0004249:T048:DISO	Atrocities
UMLS:C0004245:T047:DISO	atrioventricular conduction blocks|atrioventricular block|av block|conduction blocks, atrioventricular|blocks, av|av blocks|block, av|conduction block, atrioventricular|atrioventricular heart block|atrioventricular conduction block|atrioventricular blocks|av heart block
UMLS:C0004239:T046:DISO	Atrial flutter
UMLS:C0004238:T046:DISO	Atrial fibrillation
UMLS:C0004187:T047:DISO	atopic dermatitis and related conditions
UMLS:C0004153:T047:DISO	atheromatosis|atherosclerotic cardiovascular disease|atherosclerosis|atherosclerotic vascular disease|atheroscleroses
UMLS:C0004144:T046:DISO	Atelectasis|Pulmonary atelectasis
UMLS:C0004138:T047:DISO	spinocerebellar degenerations, familial|ataxias, hereditary|familial spinocerebellar degeneration|degeneration, hereditary spinocerebellar|degenerations, familial spinocerebellar|spinocerebellar degenerations, hereditary|spinocerebellar degeneration, familial|degeneration, inherited spinocerebellar|inherited spinocerebellar degeneration|inherited spinocerebellar degenerations|hereditary ataxias|degenerations, hereditary spinocerebellar|familial spinocerebellar degenerations|degeneration, familial spinocerebellar|hereditary spinocerebellar degenerations|degenerations, inherited spinocerebellar|ataxia, hereditary|hereditary ataxia|spinocerebellar degeneration, hereditary|spinocerebellar degenerations, inherited|hereditary spinocerebellar degeneration|spinocerebellar degeneration, inherited
UMLS:C0004135:T047:DISO	syndrome, louis-bar|louis bar syndrome|louis-bar syndrome|ataxia telangiectasia syndrome|syndrome, ataxia telangiectasia|at1|ataxia-telangiectasia|ataxia telangiectasia
UMLS:C0004114:T191:DISO	Astrocytoma
UMLS:C0004106:T047:DISO	astigmatism
UMLS:C0004099:T047:DISO	exercise-induced asthma|asthma exercise induced|exercised induced asthma|exercise induced asthma|asthma, exercise induced|asthmas, exercise-induced|asthma, exercise-induced|exercise-induced asthmas|asthma induced exercise
UMLS:C0004096:T047:DISO	bronchial asthma|asthmatics|asthma|br asthma|asthma, bronchial|bronchitic asthma|asthmas|asthmatic|asthma disorders
UMLS:C0004095:T047:DISO	visual fatigue|eye strain|tired eyes|fatigue eye|eyes fatigue|asthenopia|eye tire|fatigue, visual|eyes straining|eye strains|eye fatigue|tired eye|eyestrain|fatigue, eye|eye straining|eye tired|eyes strained
UMLS:C0004090:T048:DISO	Astasia-abasia
UMLS:C0004058:T046:DISO	Aspirin allergy
UMLS:C0004046:T047:DISO	aspiculariasis|aspiculariases
UMLS:C0004045:T047:DISO	neonatal asphyxia|birth asphyxia|asphyxia newborns|intrapartum asphyxia|asphyxia birth|asphyxia newborn|asphyxia neonatorum|asphyxia nos in liveborn infant|fetal asphyxia|postnatal asphyxia|newborn asphyxia|asphyxia neonatal
UMLS:C0004044:T046:DISO	Suffocating
UMLS:C0004032:T047:DISO	Disseminated aspergillosis
UMLS:C0004031:T047:DISO	aspergillosis, allergic bronchopulmonary|allergic bronchopulmonary aspergillosis|bronchopulmonary allergic aspergillosis|bronchopulmonary aspergilloses, allergic|bronchopulmonary allergic aspergilloses|allergic aspergillosis, bronchopulmonary|aspergilloses, allergic bronchopulmonary|allergic lung reaction to the fungus aspergillus|allergic aspergilloses, bronchopulmonary|bronchopulmonary aspergillosis, allergic|allergic bronchopulmonary aspergilloses|aspergilloses, bronchopulmonary allergic|allergic bronchopulmonary aspergillosis (abpa)|aspergillosis, bronchopulmonary allergic|abpa
UMLS:C0004030:T047:DISO	aspergillosis|aspergillose|aspergilloses
UMLS:C0003977:T047:DISO	aseptic necrosis of head and neck of femur
UMLS:C0003969:T047:DISO	vitamin c deficiency|deficiency, ascorbic acid|deficiency of vitamin c|ascorbic acid deficiencies|ascorbic acid deficiency|deficiencies, vitamin c|vitamin c deficiencies|of vitamin c deficiency|deficiencies, ascorbic acid|deficiency, vitamin c
UMLS:C0003960:T046:DISO	Aschoff body
UMLS:C0003952:T047:DISO	ascaridiases|ascaridiasis
UMLS:C0003950:T047:DISO	ascariases|ascariosis|ascariasis|ascaridiasis
UMLS:C0003949:T047:DISO	pulmonary asbestosis|asbestosis|asbestoses
UMLS:C0003944:T048:DISO	Personality, As If
UMLS:C0003910:T048:DISO	Articulation disorder
UMLS:C0003907:T047:DISO	reaction, arthus|arthus reaction|phenomenon, arthus|arthus phenomenon
UMLS:C0003892:T047:DISO	charcot's joint disease|charcots joints|charcot's arthropathy|neuropathic arthropathy|joint, charcot's|charcot joints|charcots joint|arthropathy neuropathic|charcot arthropathy|neuropathic arthritis|arthropathy neurogenic|charcot's joints|arthropathy associated with neurological disorders|charcot's joint|neuropathic joint disease|arthropathy, neurogenic|arthropathies, neurogenic|neurogenic arthropathies|neurogenic arthropathy|arthropathy charcots|charcot joint disease|neurogenic arthropathy charcot|charcot joint
UMLS:C0003886:T047:DISO	syndrome otto|congenital contractures, multiple|myodystrophia fetalis deformans|congenital arthromyodysplasia|multiple congenital contracture|arthrogryposes|arthromyodysplasias, congenital|amyoplasia congenita|multiple congenital contractures|arthrogryposis|congenital arthromyodysplasias|arthromyodysplasia, congenital|congenital multiple arthrogryposis
UMLS:C0003875:T047:DISO	viral arthritides|viral arthritis|arthritides, viral|arthritis, viral
UMLS:C0003874:T047:DISO	Acute suppurative arthritis due to bacteria
UMLS:C0003873:T047:DISO	rheumatoid arthritis|rheumatoid arthritis, susceptibility to|rheumatoid arthritis systemic|arthritis or polyarthritis, atrophic|proliferative arthritis|gout rheumatic|atrophic arthritis|arthritis or polyarthritis, rheumatic|arthritis, rheumatoid|ra
UMLS:C0003872:T047:DISO	psoriasis, arthritic|arthropathic psoriasis|psoriasis arthropathy|psoriatic arthritis|arthritis, psoriatic|psoriasis arthropathic|arthritic psoriasis|arthritis psoriatic|psoriasis arthropathica|psoriatic arthropathy|arthritis psoriatics
UMLS:C0003869:T047:DISO	infectious arthritides|infectious arthritis|infective arthritis|arthritides, infectious|arthritis, infectious|infective arthritis or polyarthritis nos|arthritis infectious
UMLS:C0003868:T047:DISO	arthritis, gouty|arthritis gouty|gout arthritis|gouty arthritides|arthropathy gout|gouty arthritis|arthritis gout|gouty arthropathy|arthritides, gouty
UMLS:C0003864:T047:DISO	inflammation joints|arthritis|joints inflammation|arthritide|arthritides|joint inflammation|inflammation of joint nos|inflammatory arthritis
UMLS:C0003861:T047:DISO	pulmonary, arteritis|arteritis pulmonary
UMLS:C0003860:T046:DISO	Arteritis|Inflammation of artery
UMLS:C0003857:T019:DISO	Arteriovenous malformation
UMLS:C0003855:T190:DISO	Arteriovenous fistula|Arteriovenous fistulas
UMLS:C0003851:T047:DISO	obliterans, arteriosclerosis|arteriosclerosis obliterans
UMLS:C0003850:T047:DISO	arteriosclerotic cardiovascular disease|arteriosclerosis cardiovascular|arterioscleroses|ascvd|cardiovascular arteriosclerosis|arteriosclerosis|arteriosclerotic vascular disease nos|vascular sclerosis|arterial sclerosis
UMLS:C0003848:T047:DISO	arteriolitis
UMLS:C0003843:T190:DISO	Arterio-Arterial Fistula
UMLS:C0003838:T047:DISO	occlusive diseases, arterial|arterial obstructive diseases|diseases, arterial obstructive|arterial disease occlusive|occlusive arterial disease|occlusive disease, arterial|arterial occlusive disease|diseases, arterial occlusive|disease, arterial obstructive|arterial obstructive disease|obstructive diseases, arterial|disease, arterial occlusive|arterial occlusive diseases|obstructive arterial disease|obstructive disease, arterial
UMLS:C0003834:T047:DISO	arterial insufficiency|arterial insufficiencies
UMLS:C0003811:T046:DISO	Cardiac arrhythmia|EXTRASYSTOLES|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C0003810:T191:DISO	Ovarian Sertoli-Leydig Cell Tumor
UMLS:C0003803:T019:DISO	Arnold-Chiari malformation|Arnola-Chiari malformation|Chiari malformation
UMLS:C0003756:T047:DISO	infection, arenaviridae|arenaviridae infections|arenaviridae infection|infections, arenaviridae
UMLS:C0003742:T047:DISO	arcus cornea|corneal arcus|gerontoxon|arcus corneae|arcus senilis|arcus corneal|cornea arcus|arcus, corneal
UMLS:C0003723:T047:DISO	arthropod-borne viral diseases|infection, arbovirus|arbovirus infections|infections, arbovirus|arbovirus infection nos|arbovirus infection|arthropod-born viral infection
UMLS:C0003721:T047:DISO	arthropod-born hemorrhagic fever|arthropod-borne hemorrhagic fever|arbovirus hemorrhagic fever nos
UMLS:C0003708:T047:DISO	arachnoid membrane inflammation|arachnoiditis|arachnoiditides|inflammations, arachnoid membrane|arachnoid membrane inflammations|inflammation, arachnoid membrane|arachnitis
UMLS:C0003706:T047:DISO	arachnodactylies|arachnodactyly|dolichostenomelia|fingers spider
UMLS:C0003650:T191:DISO	APUdoma|APUD (amine precursor uptake and decarboxylation)|amine precursor uptake and decarboxylation tumours
UMLS:C0003635:T048:DISO	Apraxia|Apraxias|Dyspraxia|Verbal apraxia
UMLS:C0003621:T048:DISO	Appetite Disorders
UMLS:C0003615:T047:DISO	appendicitis|unqualified appendicitis|appendicitis, unqualified
UMLS:C0003614:T191:DISO	Appendix Neoplasm
UMLS:C0003578:T046:DISO	Apnea|Absence of spontaneous respiration|Apneic episodes|Apnoea
UMLS:C0003550:T048:DISO	Motor aphasia|Broca's aphasia|Expressive aphasia|Loss of expressive speech
UMLS:C0003546:T048:DISO	Aphasia, Acquired
UMLS:C0003537:T048:DISO	Aphasia|Difficulty finding words|Losing words|Loss of words
UMLS:C0003534:T190:DISO	Aphakia
UMLS:C0003516:T019:DISO	Aortopulmonary window
UMLS:C0003511:T047:DISO	aortitides, syphilitic|syphilitic aortitis|syphilitic aortitides|aortitis syphilitic|aortitis, syphilitic
UMLS:C0003510:T047:DISO	syndrome, aortitis|aortitis syndrome
UMLS:C0003509:T047:DISO	aortitis|aortitides|aortitis nos
UMLS:C0003507:T047:DISO	stenoses, aortic|stenosis, aortic valve|aorta stenosis|aortic valve stenosis|stenoses, aortic valve|stenosis aortic|aortic stenosis|valve stenoses, aortic|aortic valvular stenosis|aortic stenoses|aortic valve stenoses|stenosis aorta|valve stenosis, aortic|stenosis, aortic|stenosis - aortic|stenose aortic|valvular aortic stenosis
UMLS:C0003505:T047:DISO	prolapses, aortic valve|valve prolapses, aortic|aortic valve prolapse|prolapse, aortic valve|aortic valve prolapses|valve prolapse, aortic|prolapse aortic valve
UMLS:C0003504:T047:DISO	aortic valve regurgitation|aortic incompetence|incompetence, aortic|aortic valve insufficiency|ai|insufficiency, aortic valve|aortic insufficiency|ar|regurgitation, aortic valve|incompetence, aortic valve|regurgitation, aortic|aortic regurgitation|aortic valve incompetence
UMLS:C0003500:T047:DISO	stenoses, aortic subvalvular|stenosis, subvalvular aortic|aortic stenoses, subvalvular|subvalvular aortic stenoses|subvalvular aortic stenosis|subvalvular stenoses, aortic|aortic stenosis, subvalvular|aortic subvalvular stenosis|subvalvular stenosis, aortic|aortic subvalvular stenoses|stenosis, aortic subvalvular|stenoses, subvalvular aortic
UMLS:C0003499:T047:DISO	supra-valvular aortic stenosis|aortic stenosis, supravalvular|supravalvar aortic stenosis|supravalvular stenoses, aortic|supra-aortic stenosis|stenosis, supravalvular aortic|aortic supravalvular stenoses|stenoses, aortic supravalvular|svas|supravalvular stenosis, aortic|aortic supravalvular stenosis|aortic stenosis supra valvular|supravalvular aortic stenosis|stenosis, aortic supravalvular
UMLS:C0003496:T047:DISO	rupture aortic|aortic rupture|ruptures, aortic|aortic ruptures|rupture, aortic
UMLS:C0003493:T047:DISO	aortic diseases|aorta disease|aortic disorder|aortic disorders|disease, aortic|diseases of the aorta|aortic disease|aorta disorder|aorta diseases|diseases, aortic
UMLS:C0003492:T019:DISO	Coarctation of aorta|Aortic coarctation|Coarctation of the aorta
UMLS:C0003490:T047:DISO	syndromes, aortic arch|aortic arch syndromes|syndrome, aortic arch|aortic arch syndrome
UMLS:C0003486:T047:DISO	aortic aneurysms|aneurysms, aortic|aneurysm of aorta|aortic aneurysm|aneurysm, aortic|aorta aneurysm
UMLS:C0003477:T048:DISO	Separation anxiety
UMLS:C0003476:T048:DISO	Castration anxiety complex
UMLS:C0003469:T048:DISO	Anxiety disorder
UMLS:C0003466:T047:DISO	imperforate anus|anal atresia|anus imperforate|anal atresias|atresias, anal|atresia, anal|atresia ani|anus, imperforate|congenital or infantile occlusion of anus|anus atresia|imperforate anu|anus imperforated|atresia of anus
UMLS:C0003463:T191:DISO	Anal Neoplasm
UMLS:C0003462:T047:DISO	anus disease|disease anus|disorder anus|anus diseases|anal disorders|diseases, anus|anus disorders|anal disorder|disease, anus
UMLS:C0003460:T047:DISO	anuria|suppression of urinary secretion|anurias
UMLS:C0003431:T048:DISO	Antisocial personality disorder
UMLS:C0003257:T047:DISO	antibody deficiency syndrome|deficiency syndromes, antibody|deficiency syndrome, antibody|syndromes, antibody deficiency|antibody deficiency syndromes|syndrome, antibody deficiency
UMLS:C0003178:T047:DISO	intestinal anthrax
UMLS:C0003177:T047:DISO	malignant pustule of skin due to anthrax|skin anthrax|anthrax cutaneous|anthrax, skin type|cutaneous anthrax|skin type anthrax
UMLS:C0003175:T047:DISO	anthrax|anthrax disease|charbon|splenic fever
